date,open,high,low,close,volume,cap
2022-01-05,45832.01000000,47070.00000000,42500.00000000,43451.13000000,51784.11857000,51784.11857000
2022-01-06,43451.14000000,43816.00000000,42430.58000000,43082.31000000,38880.37305000,38880.37305000
2022-01-07,43082.30000000,43145.83000000,40610.00000000,41566.48000000,54836.50818000,54836.50818000
2022-01-08,41566.48000000,42300.00000000,40501.00000000,41679.74000000,32952.73111000,32952.73111000
2022-01-09,41679.74000000,42786.70000000,41200.02000000,41864.62000000,22724.39426000,22724.39426000
2022-01-10,41864.62000000,42248.50000000,39650.00000000,41822.49000000,50729.17019000,50729.17019000
2022-01-11,41822.49000000,43100.00000000,41268.93000000,42729.29000000,37296.43729000,37296.43729000
2022-01-12,42729.29000000,44322.00000000,42450.00000000,43902.66000000,33943.29280000,33943.29280000
2022-01-13,43902.65000000,44500.00000000,42311.22000000,42560.11000000,34910.87762000,34910.87762000
2022-01-14,42558.35000000,43448.78000000,41725.95000000,43059.96000000,32640.88292000,32640.88292000
2022-01-15,43059.96000000,43800.00000000,42555.00000000,43084.29000000,21936.05616000,21936.05616000
2022-01-16,43084.29000000,43475.00000000,42581.79000000,43071.66000000,20602.35271000,20602.35271000
2022-01-17,43071.66000000,43176.18000000,41540.42000000,42201.62000000,27562.08613000,27562.08613000
2022-01-18,42201.63000000,42691.00000000,41250.00000000,42352.12000000,29324.08257000,29324.08257000
2022-01-19,42352.12000000,42559.13000000,41138.56000000,41660.01000000,31685.72159000,31685.72159000
2022-01-20,41660.00000000,43505.00000000,40553.31000000,40680.91000000,42330.33953000,42330.33953000
2022-01-21,40680.92000000,41100.00000000,35440.45000000,36445.31000000,88860.89199900,88860.89199900
2022-01-22,36445.31000000,36835.22000000,34008.00000000,35071.42000000,90471.33896100,90471.33896100
2022-01-23,35071.42000000,36499.00000000,34601.01000000,36244.55000000,44279.52354000,44279.52354000
2022-01-24,36244.55000000,37550.00000000,32917.17000000,36660.35000000,91904.75321100,91904.75321100
2022-01-25,36660.35000000,37545.14000000,35701.00000000,36958.32000000,49232.40183000,49232.40183000
2022-01-26,36958.32000000,38919.98000000,36234.63000000,36809.34000000,69830.16036000,69830.16036000
2022-01-27,36807.24000000,37234.47000000,35507.01000000,37160.10000000,53020.87934000,53020.87934000
2022-01-28,37160.11000000,38000.00000000,36155.01000000,37716.56000000,42154.26956000,42154.26956000
2022-01-29,37716.57000000,38720.74000000,37268.44000000,38166.84000000,26129.49682000,26129.49682000
2022-01-30,38166.83000000,38359.26000000,37351.63000000,37881.76000000,21430.66527000,21430.66527000
2022-01-31,37881.75000000,38744.00000000,36632.61000000,38466.90000000,36855.24580000,36855.24580000
2022-02-01,38466.90000000,39265.20000000,38000.00000000,38694.59000000,34574.44663000,34574.44663000
2022-02-02,38694.59000000,38855.92000000,36586.95000000,36896.36000000,35794.68130000,35794.68130000
2022-02-03,36896.37000000,37387.00000000,36250.00000000,37311.61000000,32081.10999000,32081.10999000
2022-02-04,37311.98000000,41772.33000000,37026.73000000,41574.25000000,64703.95874000,64703.95874000
2022-02-05,41571.70000000,41913.69000000,40843.01000000,41382.59000000,32532.34372000,32532.34372000
2022-02-06,41382.60000000,42656.00000000,41116.56000000,42380.87000000,22405.16704000,22405.16704000
2022-02-07,42380.87000000,44500.50000000,41645.85000000,43839.99000000,51060.62006000,51060.62006000
2022-02-08,43839.99000000,45492.00000000,42666.00000000,44042.99000000,64880.29387000,64880.29387000
2022-02-09,44043.00000000,44799.00000000,43117.92000000,44372.72000000,34428.16729000,34428.16729000
2022-02-10,44372.71000000,45821.00000000,43174.01000000,43495.44000000,62357.29091000,62357.29091000
2022-02-11,43495.44000000,43920.00000000,41938.51000000,42373.73000000,44975.16870000,44975.16870000
2022-02-12,42373.73000000,43079.49000000,41688.88000000,42217.87000000,26556.85681000,26556.85681000
2022-02-13,42217.87000000,42760.00000000,41870.00000000,42053.66000000,17732.08113000,17732.08113000
2022-02-14,42053.65000000,42842.40000000,41550.56000000,42535.94000000,34010.13060000,34010.13060000
2022-02-15,42535.94000000,44751.40000000,42427.03000000,44544.86000000,38095.19576000,38095.19576000
2022-02-16,44544.85000000,44549.97000000,43307.00000000,43873.56000000,28471.87270000,28471.87270000
2022-02-17,43873.56000000,44164.71000000,40073.21000000,40515.70000000,47245.99494000,47245.99494000
2022-02-18,40515.71000000,40959.88000000,39450.00000000,39974.44000000,43845.92241000,43845.92241000
2022-02-19,39974.45000000,40444.32000000,39639.03000000,40079.17000000,18042.05510000,18042.05510000
2022-02-20,40079.17000000,40125.44000000,38000.00000000,38386.89000000,33439.29011000,33439.29011000
2022-02-21,38386.89000000,39494.35000000,36800.00000000,37008.16000000,62347.68496000,62347.68496000
2022-02-22,37008.16000000,38429.00000000,36350.00000000,38230.33000000,53785.94589000,53785.94589000
2022-02-23,38230.33000000,39249.93000000,37036.79000000,37250.01000000,43560.73200000,43560.73200000
2022-02-24,37250.02000000,39843.00000000,34322.28000000,38327.21000000,120476.29458000,120476.29458000
2022-02-25,38328.68000000,39683.53000000,38014.37000000,39219.17000000,56574.57125000,56574.57125000
2022-02-26,39219.16000000,40348.45000000,38573.18000000,39116.72000000,29361.25680000,29361.25680000
2022-02-27,39116.73000000,39855.70000000,37000.00000000,37699.07000000,46229.44719000,46229.44719000
2022-02-28,37699.08000000,44225.84000000,37450.17000000,43160.00000000,73945.63858000,73945.63858000
2022-03-01,43160.00000000,44949.00000000,42809.98000000,44421.20000000,61743.09873000,61743.09873000
2022-03-02,44421.20000000,45400.00000000,43334.09000000,43892.98000000,57782.65081000,57782.65081000
2022-03-03,43892.99000000,44101.12000000,41832.28000000,42454.00000000,50940.61021000,50940.61021000
2022-03-04,42454.00000000,42527.30000000,38550.00000000,39148.66000000,61964.68498000,61964.68498000
2022-03-05,39148.65000000,39613.24000000,38407.59000000,39397.96000000,30363.13341000,30363.13341000
2022-03-06,39397.97000000,39693.87000000,38088.57000000,38420.81000000,39677.26158000,39677.26158000
2022-03-07,38420.80000000,39547.57000000,37155.00000000,37988.00000000,63994.11559000,63994.11559000
2022-03-08,37988.01000000,39362.08000000,37867.65000000,38730.63000000,55583.06638000,55583.06638000
2022-03-09,38730.63000000,42594.06000000,38656.45000000,41941.71000000,67392.58799000,67392.58799000
2022-03-10,41941.70000000,42039.63000000,38539.73000000,39422.00000000,71962.93154000,71962.93154000
2022-03-11,39422.01000000,40236.26000000,38223.60000000,38729.57000000,59018.76420000,59018.76420000
2022-03-12,38729.57000000,39486.71000000,38660.52000000,38807.36000000,24034.36432000,24034.36432000
2022-03-13,38807.35000000,39310.00000000,37578.51000000,37777.34000000,32791.82359000,32791.82359000
2022-03-14,37777.35000000,39947.12000000,37555.00000000,39671.37000000,46945.45375000,46945.45375000
2022-03-15,39671.37000000,39887.61000000,38098.33000000,39280.33000000,46015.54926000,46015.54926000
2022-03-16,39280.33000000,41718.00000000,38828.48000000,41114.00000000,88120.76167000,88120.76167000
2022-03-17,41114.01000000,41478.82000000,40500.00000000,40917.90000000,37189.38087000,37189.38087000
2022-03-18,40917.89000000,42325.02000000,40135.04000000,41757.51000000,45408.00969000,45408.00969000
2022-03-19,41757.51000000,42400.00000000,41499.29000000,42201.13000000,29067.18108000,29067.18108000
2022-03-20,42201.13000000,42296.26000000,40911.00000000,41262.11000000,30653.33468000,30653.33468000
2022-03-21,41262.11000000,41544.22000000,40467.94000000,41002.25000000,39426.24877000,39426.24877000
2022-03-22,41002.26000000,43361.00000000,40875.51000000,42364.13000000,59454.94294000,59454.94294000
2022-03-23,42364.13000000,43025.96000000,41751.47000000,42882.76000000,40828.87039000,40828.87039000
2022-03-24,42882.76000000,44220.89000000,42560.46000000,43991.46000000,56195.12374000,56195.12374000
2022-03-25,43991.46000000,45094.14000000,43579.00000000,44313.16000000,54614.43648000,54614.43648000
2022-03-26,44313.16000000,44792.99000000,44071.97000000,44511.27000000,23041.61741000,23041.61741000
2022-03-27,44511.27000000,46999.00000000,44421.46000000,46827.76000000,41874.91071000,41874.91071000
2022-03-28,46827.76000000,48189.84000000,46663.56000000,47122.21000000,58949.26140000,58949.26140000
